


// @todo 里|裏|裡

里|0x2120002|53
裏|0x2120002|53
裡|0x2120002|53

海哩|0x00020008|0
海裡|0x00008000|8813
海里|0x00028008|500

脑海裏|0x0108000|8813

海哩|0x00120008|0

這裡|0x02110000|800
//這裏|0x02110000|800
//这里|0x02110000|800

這裡面|0x02000000|800
這裏面|0x02000000|800

裡層|0x82100000|49865
里层|0x82100000|49865

裏層|0x02100000|49865
裏层|0x02100000|49865

裡面|0x02000000|800
裏面|0x02000000|800

裏側|0x02100000|0
裡側|0x02100000|0

那里|0x82010000|1000
那裡|0x02000000|1000
那裏|0x02000000|1000

哪裡|0x0A012000|1000
哪里|0x8A012000|1000

那裡面|0x02000000|800
那裏面|0x02000000|800

//在那里|0x02000000|835
//在那裡|0x02000000|800
//在那裡|0x02000000|800


// @todo 戰鬥

戰鬥|0x101000|1422
战斗|0x101000|1422
鬥|0x40101000|0
斗|0x40121000|0

决鬥|0x101000|24955
死鬥|0x001000|0

戰鬥力|0x100000|5057
戰鬥员|0x100000|39439
戰鬥性|0x100000|1065
戰鬥机|0x100000|12305
戰鬥者|0x100000|1126
戰鬥舰|0x100000|55055

爭鬥|0x101000|14742
劍闘|0x101000|0

鬥争|0x1000|598
鬥争性|0x100000|1095
鬥勇|0x1000|986
鬥嘴|0x1000|30261
斗子|0x100000|54218
斗室|0x100000|33250
鬥心眼儿|0x1000|51780
鬥志|0x100000|9937
斗拱|0x100000|40335
斗方|0x100000|1018
鬥智|0x1000|36629
鬥殴|0x1000|20566
闘气|0x101000|35961
鬥法|0x1000|34609
斗渠|0x100000|0
斗牌|0x1000|0
鬥牛|0x101000|25694
鬥牛场|0x100000|1057
鬥牛士|0x100000|41216
斗眼|0x100000|1182
斗笠|0x100000|27924
斗筲之器|0x100000|100
斗箕|0x100000|55191
斗篷|0x100000|22868
斗胆|0x8000000|33249
斗车|0x100000|44653
斗门|0x0080|1362
鬥鸡|0x100000|29515

// @todo

複數|0x300000|0
複数|0x300000|0

//复数|0x300000|0

重複|0x1000|2612
重複性|0x100000|525

//



有缘|0x801000|565
有缘份|0x801000|565
有缘分|0x801000|565
缘份|0x100000|565
缘分|0x100000|565

// @todo 於于與予

於|0x141000|0
于|0x140000|0

热衷於|0x1000|598

在於|0x1000|1094
在於一心|0x400000|0

置於|0x1000|7533
置於死地|0x8001000|36932

过於|0x8001000|3995

敢於|0x8001000|4142

苦於|0x1000|17748

忙於|0x1000|10997

請於|0x1000|0

於今|0x8000000|25238
于思|0x100000|1096

于阗|0x100000|1062
于飞|0x1000|1006

不至於|0x8000000|6366
不致於|0x8000000|876

於是|0x10000000|451
於是乎|0x10000000|19543

不同於|0x140000|692

終於|0x8000000|544
由於|0x10000000|220

关於|0x0080|693
對於|0x40000|176
属於|0x1000|665
等於|0x1000|2322
等同於|0x08001000|11322
至於|0x0000|663
給於|0x80101000|0

給予|0x101000|0
給與|0x101000|0
給于|0x101000|0

于呼哀哉|0x0000|100
於家为国|0x0000|100
於心无愧|0x0000|100
於此|0xA000000|679

用於|0x1000|1639

盘踞於此|0x0001000|0

立於|0x1000|15058
//立於不败之地|0x0008|779

// @todo 么麼

了麼|0x08802000|0

不怎麼|0x8801000|512
不怎麼样|0x48001000|644

不是麼|0x8101000|0

